Ingredient;ID;Ingredient class;Class ID
Sciroppo d'acero;139;Condimenti;10
Maggiorana;140;Erbe;16
Marsala;141;Vini e liquori;35
Mascarpone;142;Latte e panna;19
Maionese;143;Condimenti;10
Melissa;144;Erbe;16
Latte;145;Latte e panna;19
Menta;146;Erbe;16
Miso;147;Condimenti;10
Pasta mista;148;Pasta secca;11
Rana pescatrice;149;Pesce di mare;26
Formaggio Montasio;150;Formaggio;7
Mortadella;151;Carne di maiale;23
Mozzarella;152;Formaggio morbido;29
Funghi;153;Funghi;21
Polpo muschiato;154;Molluschi;20
Cozze;155;Molluschi;20
Senape;156;Condimenti;10
Narutomaki;157;Pesce di mare;26
Nduja;158;Carne di maiale;23
Noce moscata;159;Spezie;30
Avena;160;Cereali;6
Polpo;161;Pesce di mare;26
Olio;162;Condimenti;10
Olive;163;Frutta salata;25
Cipolla;164;Erbe;16
Arancia;165;Agrumi;9
Orecchiette;166;Pasta secca;11
Origano;167;Erbe;16
Paccheri;168;Pasta secca;11
Pancetta;169;Carne di maiale;23
Paprika;170;Spezie;30
Parmigiano;171;Formaggio;7
Prezzemolo;172;Erbe;16
Frutto della passione;173;Frutta dolce;31
Arachidi;174;Frutta secca;22
Pera;175;Frutta dolce;31
Piselli;176;Legumi;18
Pecorino;177;Formaggio;7
Penne;178;Pasta secca;11
Peperone;179;Verdure;34
Pesto;180;Condimenti;10
Pignoli;181;Pesce di mare;26
Pistacchio;182;Frutta salata;25
Pizzoccheri;183;Pasta fresca;14
Prugna;184;Frutta dolce;31
Semi di papavero;185;Spezie;30
Carne di maiale;186;Carne di maiale;23
Patata;187;Verdure;34
Amido di patata;188;Farina;13
Gambero;189;Crostacei;28
Prosciutto;190;Carne di maiale;23
Pasta sfoglia;191;Pasta fresca;14
Zucca;192;Verdure;34
Quinoa;193;Cereali;6
Coniglio;194;Carne di coniglio;24
Radicchio;195;Verdure a foglia;15
Ravanello;196;Verdure;34
Uva passa;197;Frutta dolce;31
Coda di rospo;198;Pesce di mare;26
Triglie;199;Pesce di mare;26
Riso;200;Cereali;6
Ricotta;201;Formaggio morbido;29
Rigatoni;202;Pasta secca;11
Formaggio Robiola;203;Formaggio morbido;29
Rucola;204;Verdure a foglia;15
Formaggio Roquefort;205;Formaggio morbido;29
Rosmarino;206;Erbe;16
Rum;207;Vini e liquori;35
Saffrano;208;Spezie;30
Salvia;209;Erbe;16
Sake;210;Vini e liquori;35
Insalata;211;Verdure a foglia;15
Salame;212;Carne di maiale;23
Salmone;213;Pesce di mare;26
Sardina;214;Pesce di mare;26
Salsiccia;215;Carne di maiale;23
Sedano rapa;216;Verdure;34
Formaggio Stracchino;217;Formaggio morbido;29
Formaggio Stracciatella;218;Formaggio morbido;29
Gambero striato;219;Carne di pecora;27
Zucchero;220;Dolcificanti;32
Semi di girasole;221;Frutta secca;22
Pesce spada;222;Pesce di mare;26
Tabasco;223;Condimenti;10
Taco;224;Pane;3
Tahin;225;Spezie;30
Formaggio Taleggio;226;Formaggio;7
Timo;227;Erbe;16
Pomodoro;228;Verdure a foglia;15
Formaggio Tomino;229;Formaggio;7
Trippa;230;Carne di maiale;23
Trofie;231;Pasta secca;11
Trota;232;Pasta fresca;14
Tartufo;233;Funghi;21
Gallinella;234;Pesce di mare;26
Tonno;235;Pesce di mare;26
Curcuma;236;Spezie;30
Cime di rapa;237;Verdure a foglia;15
Formaggio Valtellina;238;Formaggio;7
Vitello;239;Manzo;1
Brodo vegetale;240;Brodo;4
Verzini;241;Carne di maiale;23
Aceto;242;Condimenti;10
Vodka;243;Vini e liquori;35
Noci;244;Frutta secca;22
Wasabi;245;Spezie;30
Vino;246;Vini e liquori;35
Salsa Worcester;247;Condimenti;10
Yogurt;248;Yogurt;36
